ORINumber,Agency,Population,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft,County
NJ0141700,MADISON PD,15832,,,,,,,,Morris
,Number of Offenses,,0,1,1,1,6,68,2,Morris
,"Rate Per 100,000",,0,6.3,6.3,6.3,37.9,429.5,12.6,Morris
,Number of Clearances,,0,0,1,1,1,5,0,Morris
,Percent Cleared,,0,0,100,100,17,7,0,Morris
,Number of Arrests,,0,0,1,1,1,6,0,Morris
NJ0141800,MENDHAM BORO PD,4905,,,,,,,,Morris
,Number of Offenses,,0,0,0,0,4,18,2,Morris
,"Rate Per 100,000",,0,0,0,0,81.5,367.0,40.8,Morris
,Number of Clearances,,0,0,0,0,2,9,1,Morris
,Percent Cleared,,0,0,0,0,50,50,50,Morris
,Number of Arrests,,0,0,0,2,3,2,4,Morris
NJ0141900,MENDHAM TWP PD,5757,,,,,,,,Morris
,Number of Offenses,,0,0,0,0,6,5,1,Morris
,"Rate Per 100,000",,0,0,0,0,104.2,86.9,17.4,Morris
,Number of Clearances,,0,0,0,0,1,3,0,Morris
,Percent Cleared,,0,0,0,0,17,60,0,Morris
,Number of Arrests,,0,0,0,0,4,2,0,Morris
NJ0142000,MINE HILL TWP PD,3534,,,,,,,,Morris
,Number of Offenses,,0,0,0,0,4,8,4,Morris
,"Rate Per 100,000",,0,0,0,0,113.2,226.4,113.2,Morris
,Number of Clearances,,0,0,0,0,1,0,2,Morris
,Percent Cleared,,0,0,0,0,25,0,50,Morris
,Number of Arrests,,0,0,0,1,2,0,1,Morris
NJ0142100,MONTVILLE TWP PD,21396,,,,,,,,Morris
,Number of Offenses,,0,1,0,3,16,124,33,Morris
,"Rate Per 100,000",,0,4.7,0,14.0,74.8,579.5,154.2,Morris
,Number of Clearances,,0,0,0,3,1,5,1,Morris
,Percent Cleared,,0,0,0,100,6,4,3,Morris
,Number of Arrests,,0,0,0,4,5,5,0,Morris
NJ0148900,MORRIS CO PROSECUTOR' S OFFICE,0,,,,,,,,Morris
,Number of Offenses,,0,0,0,0,0,0,0,Morris
,"Rate Per 100,000",,0,0,0,0,0,0,0,Morris
,Number of Clearances,,0,0,0,0,0,0,0,Morris
,Percent Cleared,,0,0,0,0,0,0,0,Morris
,Number of Arrests,,0,0,2,1,0,3,0,Morris
NJ0140000,MORRIS CO SHERIFF'S DEPT,0,,,,,,,,Morris
,Number of Offenses,,0,0,0,0,0,0,0,Morris
,"Rate Per 100,000",,0,0,0,0,0,0,0,Morris
,Number of Clearances,,0,0,0,0,0,0,0,Morris
,Percent Cleared,,0,0,0,0,0,0,0,Morris
,Number of Arrests,,0,0,0,0,0,0,0,Morris
NJ0149100,MORRIS COUNTY PARK PD,0,,,,,,,,Morris
,Number of Offenses,,0,0,1,0,0,9,0,Morris
,"Rate Per 100,000",,0,0,0,0,0,0,0,Morris
,Number of Clearances,,0,0,1,0,0,0,0,Morris
,Percent Cleared,,0,0,100,0,0,0,0,Morris
,Number of Arrests,,0,0,1,0,0,0,0,Morris
NJ0142300,MORRIS PLAINS PD,5509,,,,,,,,Morris
,Number of Offenses,,0,1,1,1,2,59,0,Morris
,"Rate Per 100,000",,0,18.2,18.2,18.2,36.3,"1,071.0",0,Morris
,Number of Clearances,,0,1,2,1,0,15,0,Morris
,Percent Cleared,,0,100,200,100,0,25,0,Morris
,Number of Arrests,,0,1,2,1,0,12,0,Morris
NJ0142200,MORRIS TWP PD,22183,,,,,,,,Morris
,Number of Offenses,,0,0,1,5,25,91,4,Morris
,"Rate Per 100,000",,0,0,4.5,22.5,112.7,410.2,18.0,Morris
,Number of Clearances,,0,0,1,4,1,10,0,Morris
,Percent Cleared,,0,0,100,80,4,11,0,Morris
,Number of Arrests,,0,0,2,8,0,6,0,Morris
NJ0142400,MORRISTOWN PD,18860,,,,,,,,Morris
,Number of Offenses,,0,2,9,19,14,177,11,Morris
,"Rate Per 100,000",,0,10.6,47.7,100.7,74.2,938.5,58.3,Morris
,Number of Clearances,,0,1,4,15,5,20,1,Morris
,Percent Cleared,,0,50,44,79,36,11,9,Morris
,Number of Arrests,,0,2,5,21,5,19,0,Morris
NJ0142600,MOUNT ARLINGTON BORO PD,5914,,,,,,,,Morris
,Number of Offenses,,0,0,0,1,2,22,1,Morris
,"Rate Per 100,000",,0,0,0,16.9,33.8,372.0,16.9,Morris
,Number of Clearances,,0,0,0,1,0,9,0,Morris
,Percent Cleared,,0,0,0,100,0,41,0,Morris
,Number of Arrests,,0,0,0,2,0,9,0,Morris
NJ0142700,MOUNT OLIVE TWP PD,28994,,,,,,,,Morris
,Number of Offenses,,0,1,1,4,15,59,3,Morris
,"Rate Per 100,000",,0,3.4,3.4,13.8,51.7,203.5,10.3,Morris
,Number of Clearances,,0,0,0,4,1,12,0,Morris
,Percent Cleared,,0,0,0,100,7,20,0,Morris
,Number of Arrests,,0,0,0,5,2,10,0,Morris
NJ0142500,MOUNTAIN LAKES PD,4308,,,,,,,,Morris
,Number of Offenses,,0,0,0,0,7,23,13,Morris
,"Rate Per 100,000",,0,0,0,0,162.5,533.9,301.8,Morris
,Number of Clearances,,0,0,0,0,1,0,0,Morris
,Percent Cleared,,0,0,0,0,14,0,0,Morris
,Number of Arrests,,0,0,0,0,3,1,0,Morris
NJ0142800,NETCONG BORO PD,3182,,,,,,,,Morris
,Number of Offenses,,0,2,1,0,1,12,1,Morris
,"Rate Per 100,000",,0,62.9,31.4,0,31.4,377.1,31.4,Morris
,Number of Clearances,,0,2,0,0,0,0,0,Morris
,Percent Cleared,,0,100,0,0,0,0,0,Morris
,Number of Arrests,,0,1,0,0,0,0,0,Morris
NJ0142900,PARSIPPANY-TROY HILLS PD,52447,,,,,,,,Morris
,Number of Offenses,,1,4,6,18,53,279,30,Morris
,"Rate Per 100,000",,1.9,7.6,11.4,34.3,101.1,532.0,57.2,Morris
,Number of Clearances,,1,1,2,14,0,33,1,Morris
,Percent Cleared,,100,25,33,78,0,12,3,Morris
,Number of Arrests,,1,3,2,20,2,31,2,Morris
NJ0143100,PEQUANNOCK PD,15177,,,,,,,,Morris
,Number of Offenses,,0,0,0,3,17,72,4,Morris
,"Rate Per 100,000",,0,0,0,19.8,112.0,474.4,26.4,Morris
,Number of Clearances,,0,0,0,3,2,9,0,Morris
,Percent Cleared,,0,0,0,100,12,13,0,Morris
,Number of Arrests,,0,0,0,3,1,5,0,Morris
NJ0143200,RANDOLPH TWP PD,25552,,,,,,,,Morris
,Number of Offenses,,0,0,0,2,14,106,8,Morris
,"Rate Per 100,000",,0,0,0,7.8,54.8,414.8,31.3,Morris
,Number of Clearances,,0,0,0,1,1,6,1,Morris
,Percent Cleared,,0,0,0,50,7,6,13,Morris
,Number of Arrests,,0,0,0,1,2,4,2,Morris
NJ0143300,RIVERDALE PD,4293,,,,,,,,Morris
,Number of Offenses,,0,0,0,0,5,85,3,Morris
,"Rate Per 100,000",,0,0,0,0,116.5,"1,980.0",69.9,Morris
,Number of Clearances,,0,0,0,0,0,40,0,Morris
,Percent Cleared,,0,0,0,0,0,47,0,Morris
,Number of Arrests,,0,0,0,0,0,56,0,Morris
NJ0143400,ROCKAWAY BORO PD,6388,,,,,,,,Morris
,Number of Offenses,,0,0,0,0,5,48,1,Morris
,"Rate Per 100,000",,0,0,0,0,78.3,751.4,15.7,Morris
,Number of Clearances,,0,0,0,0,3,5,1,Morris
,Percent Cleared,,0,0,0,0,60,10,100,Morris
,Number of Arrests,,0,0,0,0,2,5,0,Morris
NJ0143500,ROCKAWAY TWP PD,25328,,,,,,,,Morris
,Number of Offenses,,0,0,3,3,14,269,11,Morris
,"Rate Per 100,000",,0,0,11.8,11.8,55.3,"1,062.1",43.4,Morris
,Number of Clearances,,0,0,1,2,0,69,0,Morris
,Percent Cleared,,0,0,33,67,0,26,0,Morris
,Number of Arrests,,0,0,1,2,0,76,0,Morris
NJ0143600,ROXBURY TWP PD,23010,,,,,,,,Morris
,Number of Offenses,,0,1,0,0,9,111,7,Morris
,"Rate Per 100,000",,0,4.3,0,0,39.1,482.4,30.4,Morris
,Number of Clearances,,0,0,0,0,0,11,1,Morris
,Percent Cleared,,0,0,0,0,0,10,14,Morris
,Number of Arrests,,0,0,1,3,3,18,2,Morris
NJ014SP,STATE POLICE MORRIS COUNTY,,,,,,,,,Morris
,Number of Offenses,,0,4,0,4,0,4,2,Morris
,"Rate Per 100,000",,0,0,0,0,0,0,0,Morris
,Number of Clearances,,0,2,0,3,0,0,0,Morris
,Percent Cleared,,0,50,0,75,0,0,0,Morris
,Number of Arrests,,0,0,0,1,0,1,0,Morris
NJ0143800,WASHINGTON TWP PD,18484,,,,,,,,Morris
,Number of Offenses,,0,3,0,4,6,39,5,Morris
,"Rate Per 100,000",,0,16.2,0,21.6,32.5,211.0,27.1,Morris
,Number of Clearances,,0,1,0,4,1,6,3,Morris
,Percent Cleared,,0,33,0,100,17,15,60,Morris
,Number of Arrests,,0,0,0,3,1,5,0,Morris
NJ0143900,WHARTON BORO PD,6482,,,,,,,,Morris
NJ0150100,BARNEGAT LIGHT BORO,580,,,,,,,,Ocean
,Number of Offenses,,0,0,0,0,1,11,0,Ocean
,"Rate Per 100,000",,0,0,0,0,172.4,"1,896.6",0,Ocean
,Number of Clearances,,0,0,0,0,0,0,0,Ocean
,Percent Cleared,,0,0,0,0,0,0,0,Ocean
,Number of Arrests,,0,0,0,0,0,0,0,Ocean
NJ0153300,BARNEGAT TWP PD,22777,,,,,,,,Ocean
,Number of Offenses,,0,5,1,7,25,92,3,Ocean
,"Rate Per 100,000",,0,22.0,4.4,30.7,109.8,403.9,13.2,Ocean
,Number of Clearances,,0,3,1,7,9,42,0,Ocean
,Percent Cleared,,0,60,100,100,36,46,0,Ocean
,Number of Arrests,,0,1,1,8,7,38,0,Ocean
NJ0150200,BAYHEAD BORO PD,971,,,,,,,,Ocean
,Number of Offenses,,0,0,0,0,3,13,1,Ocean
,"Rate Per 100,000",,0,0,0,0,309.0,"1,338.8",103.0,Ocean
,Number of Clearances,,0,0,0,0,2,3,2,Ocean
,Percent Cleared,,0,0,0,0,67,23,200,Ocean
,Number of Arrests,,0,0,0,0,2,0,2,Ocean
NJ0150300,BEACH HAVEN PD,1169,,,,,,,,Ocean
,Number of Offenses,,0,0,0,0,3,114,1,Ocean
,"Rate Per 100,000",,0,0,0,0,256.6,"9,751.9",85.5,Ocean
,Number of Clearances,,0,0,0,0,0,2,0,Ocean
,Percent Cleared,,0,0,0,0,0,2,0,Ocean
,Number of Arrests,,0,0,0,2,0,13,0,Ocean
NJ0150400,BEACHWOOD BORO PD,11146,,,,,,,,Ocean
,Number of Offenses,,0,1,5,0,19,111,0,Ocean
,"Rate Per 100,000",,0,9.0,44.9,0,170.5,995.9,0,Ocean
,Number of Clearances,,0,1,3,0,10,17,0,Ocean
,Percent Cleared,,0,100,60,0,53,15,0,Ocean
,Number of Arrests,,0,1,3,0,10,11,0,Ocean
NJ0150500,BERKELEY TWP PD,41331,,,,,,,,Ocean
,Number of Offenses,,0,6,6,13,68,300,10,Ocean
,"Rate Per 100,000",,0,14.5,14.5,31.5,164.5,725.8,24.2,Ocean
,Number of Clearances,,0,0,0,4,4,21,0,Ocean
,Percent Cleared,,0,0,0,31,6,7,0,Ocean
,Number of Arrests,,0,0,1,10,6,33,0,Ocean
NJ0150600,BRICK TWP PD,74712,,,,,,,,Ocean
,Number of Offenses,,0,12,8,45,113,768,23,Ocean
,"Rate Per 100,000",,0,16.1,10.7,60.2,151.2,"1,027.9",30.8,Ocean
,Number of Clearances,,0,7,5,50,18,115,1,Ocean
,Percent Cleared,,0,58,63,111,16,15,4,Ocean
,Number of Arrests,,0,0,4,36,18,91,0,Ocean
NJ0150900,HARVEY CEDARS BORO PD,338,,,,,,,,Ocean
,Number of Offenses,,0,0,0,0,3,21,0,Ocean
,"Rate Per 100,000",,0,0,0,0,887.6,"6,213.0",0,Ocean
,Number of Clearances,,0,0,0,0,1,7,0,Ocean
,Percent Cleared,,0,0,0,0,33,33,0,Ocean
,Number of Arrests,,0,0,0,0,1,0,0,Ocean
NJ0151000,ISLAND HEIGHTS BORO PD,1652,,,,,,,,Ocean
,Number of Offenses,,0,1,1,1,1,11,0,Ocean
,"Rate Per 100,000",,0,60.5,60.5,60.5,60.5,665.9,0,Ocean
,Number of Clearances,,0,0,0,1,0,1,0,Ocean
,Percent Cleared,,0,0,0,100,0,9,0,Ocean
,Number of Arrests,,0,1,0,1,0,0,0,Ocean
NJ0151100,JACKSON TWP PD,56706,,,,,,,,Ocean
,Number of Offenses,,1,7,4,15,73,263,24,Ocean
,"Rate Per 100,000",,1.8,12.3,7.1,26.5,128.7,463.8,42.3,Ocean
,Number of Clearances,,1,0,1,8,12,27,2,Ocean
,Percent Cleared,,100,0,25,53,16,10,8,Ocean
,Number of Arrests,,1,0,1,10,10,26,6,Ocean
NJ0151200,LACEY TWP PD,28654,,,,,,,,Ocean
,Number of Offenses,,0,5,2,11,30,221,6,Ocean
,"Rate Per 100,000",,0,17.4,7.0,38.4,104.7,771.3,20.9,Ocean
,Number of Clearances,,0,0,1,7,5,45,1,Ocean
,Percent Cleared,,0,0,50,64,17,20,17,Ocean
,Number of Arrests,,0,0,1,7,7,63,3,Ocean
NJ0151300,LAKEHURST BORO PD,2672,,,,,,,,Ocean
,Number of Offenses,,0,0,3,6,4,25,1,Ocean
,"Rate Per 100,000",,0,0,112.3,224.6,149.7,935.6,37.4,Ocean
,Number of Clearances,,0,0,1,6,0,15,2,Ocean
,Percent Cleared,,0,0,33,100,0,60,200,Ocean
,Number of Arrests,,0,0,2,4,0,12,0,Ocean
NJ0151400,LAKEWOOD PD,102915,,,,,,,,Ocean
,Number of Offenses,,0,2,30,97,145,588,46,Ocean
,"Rate Per 100,000",,0,1.9,29.2,94.3,140.9,571.3,44.7,Ocean
,Number of Clearances,,0,1,9,69,25,92,10,Ocean
,Percent Cleared,,0,50,30,71,17,16,22,Ocean
,Number of Arrests,,0,0,7,64,24,77,10,Ocean
NJ0151500,LAVALLETTE PD,1824,,,,,,,,Ocean
,Number of Offenses,,0,0,0,1,1,21,0,Ocean
,"Rate Per 100,000",,0,0,0,54.8,54.8,"1,151.3",0,Ocean
,Number of Clearances,,0,0,0,1,0,4,0,Ocean
,Percent Cleared,,0,0,0,100,0,19,0,Ocean
,Number of Arrests,,0,0,0,1,0,2,0,Ocean
NJ0151600,LITTLE EGG HARBOR TWP PD,21087,,,,,,,,Ocean
,Number of Offenses,,1,0,1,2,38,194,9,Ocean
,"Rate Per 100,000",,4.7,0,4.7,9.5,180.2,920.0,42.7,Ocean
,Number of Clearances,,1,0,1,1,5,37,6,Ocean
,Percent Cleared,,100,0,100,50,13,19,67,Ocean
,Number of Arrests,,1,0,2,1,5,35,9,Ocean
NJ0151700,LONG BEACH TWP PD,3029,,,,,,,,Ocean
,Number of Offenses,,0,0,0,3,5,53,1,Ocean
,"Rate Per 100,000",,0,0,0,99.0,165.1,"1,749.8",33.0,Ocean
,Number of Clearances,,0,0,0,1,1,0,1,Ocean
,Percent Cleared,,0,0,0,33,20,0,100,Ocean
,Number of Arrests,,0,0,0,3,2,5,2,Ocean
NJ0151800,MANCHESTER TWP PD,42939,,,,,,,,Ocean
,Number of Offenses,,1,1,2,11,48,185,5,Ocean
,"Rate Per 100,000",,2.3,2.3,4.7,25.6,111.8,430.8,11.6,Ocean
,Number of Clearances,,1,0,2,10,3,56,2,Ocean
,Percent Cleared,,100,0,100,91,6,30,40,Ocean
,Number of Arrests,,1,0,1,3,7,24,1,Ocean
NJ0151900,MANTOLOKING BORO PD,249,,,,,,,,Ocean
,Number of Offenses,,0,0,0,0,2,6,3,Ocean
,"Rate Per 100,000",,0,0,0,0,803.2,"2,409.6","1,204.8",Ocean
,Number of Clearances,,0,0,0,0,0,1,1,Ocean
,Percent Cleared,,0,0,0,0,0,17,33,Ocean
,Number of Arrests,,1,0,0,0,0,0,0,Ocean
NJ0158900,OCEAN CO PROSECUTOR'S OFFICE,0,,,,,,,,Ocean
,Number of Offenses,,0,0,0,0,0,0,0,Ocean
,"Rate Per 100,000",,0,0,0,0,0,0,0,Ocean
,Number of Clearances,,0,0,0,0,0,0,0,Ocean
,Percent Cleared,,0,0,0,0,0,0,0,Ocean
,Number of Arrests,,0,0,0,0,0,0,0,Ocean
NJ0150000,OCEAN CO SHERIFF'S DEPT,0,,,,,,,,Ocean
,Number of Offenses,,0,0,0,1,0,7,0,Ocean
,"Rate Per 100,000",,0,0,0,0,0,0,0,Ocean
,Number of Clearances,,0,0,0,1,0,3,0,Ocean
,Percent Cleared,,0,0,0,100,0,43,0,Ocean
,Number of Arrests,,0,0,1,4,6,9,0,Ocean
NJ0152000,OCEAN TWP PD,9045,,,,,,,,Ocean
,Number of Offenses,,0,0,1,0,8,45,1,Ocean
,"Rate Per 100,000",,0,0,11.1,0,88.4,497.5,11.1,Ocean
,Number of Clearances,,0,0,0,0,2,4,0,Ocean
,Percent Cleared,,0,0,0,0,25,9,0,Ocean
,Number of Arrests,,0,2,0,0,5,14,4,Ocean
NJ0152100,OCEANGATE BORO PD,2001,,,,,,,,Ocean
,Number of Offenses,,0,0,0,1,8,22,0,Ocean
,"Rate Per 100,000",,0,0,0,50.0,399.8,"1,099.5",0,Ocean
,Number of Clearances,,0,0,0,1,2,5,0,Ocean
,Percent Cleared,,0,0,0,100,25,23,0,Ocean
,Number of Arrests,,0,0,0,1,3,5,0,Ocean
NJ0152200,PINE BEACH BORO PD,2148,,,,,,,,Ocean
,Number of Offenses,,0,1,1,0,4,17,0,Ocean
,"Rate Per 100,000",,0,46.6,46.6,0,186.2,791.4,0,Ocean
,Number of Clearances,,0,1,1,0,1,1,0,Ocean
,Percent Cleared,,0,100,100,0,25,6,0,Ocean
,Number of Arrests,,0,1,1,0,0,2,0,Ocean
NJ0152300,PLUMSTED TWP PD,8460,,,,,,,,Ocean
,Number of Offenses,,0,0,0,1,22,28,3,Ocean
,"Rate Per 100,000",,0,0,0,11.8,260.0,331.0,35.5,Ocean
,Number of Clearances,,0,0,0,1,1,2,0,Ocean
,Percent Cleared,,0,0,0,100,5,7,0,Ocean
,Number of Arrests,,0,0,0,1,0,2,0,Ocean
NJ0152500,POINT PLEASANT BEACH PD,4472,,,,,,,,Ocean
,Number of Offenses,,0,0,0,3,5,59,0,Ocean
,"Rate Per 100,000",,0,0,0,67.1,111.8,"1,319.3",0,Ocean
,Number of Clearances,,0,0,0,2,0,15,0,Ocean
,Percent Cleared,,0,0,0,67,0,25,0,Ocean
,Number of Arrests,,0,0,0,5,0,5,0,Ocean
NJ0152400,POINT PLEASANT BORO PD,18474,,,,,,,,Ocean
,Number of Offenses,,0,0,2,12,22,92,1,Ocean
,"Rate Per 100,000",,0,0,10.8,65.0,119.1,498.0,5.4,Ocean
,Number of Clearances,,0,0,1,12,3,27,0,Ocean
,Percent Cleared,,0,0,50,100,14,29,0,Ocean
,Number of Arrests,,0,0,1,7,4,31,0,Ocean
NJ0152600,SEASIDE HEIGHTS PD,2872,,,,,,,,Ocean
,Number of Offenses,,1,1,6,18,38,173,4,Ocean
,"Rate Per 100,000",,34.8,34.8,208.9,626.7,"1,323.1","6,023.7",139.3,Ocean
,Number of Clearances,,1,1,1,16,9,47,5,Ocean
,Percent Cleared,,100,100,17,89,24,27,125,Ocean
,Number of Arrests,,1,0,1,15,5,29,1,Ocean
NJ0152700,SEASIDE PARK PD,1526,,,,,,,,Ocean
,Number of Offenses,,0,0,0,0,1,25,0,Ocean
,"Rate Per 100,000",,0,0,0,0,65.5,"1,638.3",0,Ocean
,Number of Clearances,,0,0,0,0,0,0,0,Ocean
,Percent Cleared,,0,0,0,0,0,0,0,Ocean
,Number of Arrests,,0,0,0,0,0,0,0,Ocean
NJ0152800,SHIP BOTTOM BORO PD,1129,,,,,,,,Ocean
,Number of Offenses,,0,0,0,0,4,19,0,Ocean
,"Rate Per 100,000",,0,0,0,0,354.3,"1,682.9",0,Ocean
,Number of Clearances,,0,0,0,0,0,0,0,Ocean
,Percent Cleared,,0,0,0,0,0,0,0,Ocean
,Number of Arrests,,0,0,0,0,0,3,0,Ocean
NJ0152900,SOUTH TOMS RIVER PD,3740,,,,,,,,Ocean
,Number of Offenses,,0,0,1,6,5,35,3,Ocean
,"Rate Per 100,000",,0,0,26.7,160.4,133.7,935.8,80.2,Ocean
,Number of Clearances,,0,0,0,4,1,4,1,Ocean
,Percent Cleared,,0,0,0,67,20,11,33,Ocean
,Number of Arrests,,0,0,0,4,2,4,1,Ocean
NJ0153000,STAFFORD TWP PD,27141,,,,,,,,Ocean
,Number of Offenses,,0,1,1,13,13,162,8,Ocean
,"Rate Per 100,000",,0,3.7,3.7,47.9,47.9,596.9,29.5,Ocean
,Number of Clearances,,0,0,0,6,3,53,2,Ocean
,Percent Cleared,,0,0,0,46,23,33,25,Ocean
,Number of Arrests,,0,0,1,9,5,89,5,Ocean
NJ015SP,STATE POLICE OCEAN COUNTY,,,,,,,,,Ocean
,Number of Offenses,,0,0,0,1,2,10,1,Ocean
,"Rate Per 100,000",,0,0,0,0,0,0,0,Ocean
,Number of Clearances,,0,0,0,0,0,2,0,Ocean
,Percent Cleared,,0,0,0,0,0,20,0,Ocean
,Number of Arrests,,0,0,0,3,2,3,1,Ocean
NJ0153100,SURF CITY PD,1174,,,,,,,,Ocean
,Number of Offenses,,0,0,0,0,1,11,0,Ocean
,"Rate Per 100,000",,0,0,0,0,85.2,937.0,0,Ocean
,Number of Clearances,,0,0,0,0,0,4,0,Ocean
,Percent Cleared,,0,0,0,0,0,36,0,Ocean
,Number of Arrests,,0,0,0,0,0,2,0,Ocean
NJ0150700,TOMS RIVER TOWNSHIP,92191,,,,,,,,Ocean
,Number of Offenses,,1,19,10,25,171,1112,34,Ocean
,"Rate Per 100,000",,1.1,20.6,10.8,27.1,185.5,"1,206.2",36.9,Ocean
,Number of Clearances,,1,14,4,19,24,202,4,Ocean
,Percent Cleared,,100,74,40,76,14,18,12,Ocean
,Number of Arrests,,0,2,2,17,23,126,4,Ocean
NJ0153200,TUCKERTON BORO PD,3336,,,,,,,,Ocean
NJ0160100,BLOOMINGDALE BORO PD,8211,,,,,,,,Passic
,Number of Offenses,,0,0,0,1,6,30,1,Passic
,"Rate Per 100,000",,0,0,0,12.2,73.1,365.4,12.2,Passic
,Number of Clearances,,0,0,0,1,3,6,0,Passic
,Percent Cleared,,0,0,0,100,50,20,0,Passic
,Number of Arrests,,0,0,1,2,6,10,0,Passic
NJ0160200,CLIFTON PD,85732,,,,,,,,Passic
,Number of Offenses,,1,3,43,50,162,1096,96,Passic
,"Rate Per 100,000",,1.2,3.5,50.2,58.3,189.0,"1,278.4",112.0,Passic
,Number of Clearances,,1,0,14,30,46,200,5,Passic
,Percent Cleared,,100,0,33,60,28,18,5,Passic
,Number of Arrests,,6,2,16,36,47,223,3,Passic
NJ0160300,HALEDON PD,8363,,,,,,,,Passic
,Number of Offenses,,0,0,1,14,23,89,8,Passic
,"Rate Per 100,000",,0,0,12.0,167.4,275.0,"1,064.2",95.7,Passic
,Number of Clearances,,0,0,0,11,7,22,0,Passic
,Percent Cleared,,0,0,0,79,30,25,0,Passic
,Number of Arrests,,0,0,0,13,9,24,2,Passic
NJ0160400,HAWTHORNE PD,18874,,,,,,,,Passic
,Number of Offenses,,0,0,2,0,28,139,10,Passic
,"Rate Per 100,000",,0,0,10.6,0,148.4,736.5,53.0,Passic
,Number of Clearances,,0,0,0,2,1,14,4,Passic
,Percent Cleared,,0,0,0,0,4,10,40,Passic
,Number of Arrests,,0,0,0,1,3,4,0,Passic
NJ0160500,LITTLE FALLS PD,14306,,,,,,,,Passic
,Number of Offenses,,0,0,0,16,17,83,13,Passic
,"Rate Per 100,000",,0,0,0,111.8,118.8,580.2,90.9,Passic
,Number of Clearances,,0,0,0,13,3,18,0,Passic
,Percent Cleared,,0,0,0,81,18,22,0,Passic
,Number of Arrests,,0,0,0,13,3,16,0,Passic
NJ0160600,NORTH HALEDON PD,8469,,,,,,,,Passic
,Number of Offenses,,0,1,1,1,6,26,0,Passic
,"Rate Per 100,000",,0,11.8,11.8,11.8,70.8,307.0,0,Passic
,Number of Clearances,,0,1,1,1,3,6,0,Passic
,Percent Cleared,,0,100,100,100,50,23,0,Passic
,Number of Arrests,,0,1,1,1,1,5,0,Passic
NJ0168900,PASSAIC CO PROSECUTOR'S OFFICE,0,,,,,,,,Passic
,Number of Offenses,,0,0,0,0,0,0,0,Passic
,"Rate Per 100,000",,0,0,0,0,0,0,0,Passic
,Number of Clearances,,0,0,0,0,0,0,0,Passic
,Percent Cleared,,0,0,0,0,0,0,0,Passic
,Number of Arrests,,0,0,0,0,0,0,0,Passic
NJ0160000,PASSAIC CO SHERIFF'S DEPT,0,,,,,,,,Passic
,Number of Offenses,,0,0,0,0,0,0,0,Passic
,"Rate Per 100,000",,0,0,0,0,0,0,0,Passic
,Number of Clearances,,0,0,0,0,0,0,0,Passic
,Percent Cleared,,0,0,0,0,0,0,0,Passic
,Number of Arrests,,0,0,0,0,0,0,0,Passic
NJ0160700,PASSAIC PD,70435,,,,,,,,Passic
,Number of Offenses,,1,7,167,231,170,943,185,Passic
,"Rate Per 100,000",,1.4,9.9,237.1,328.0,241.4,"1,338.8",262.7,Passic
,Number of Clearances,,1,3,28,63,16,65,1,Passic
,Percent Cleared,,100,43,17,27,9,7,1,Passic
,Number of Arrests,,1,2,36,88,27,74,1,Passic
NJ0160800,PATERSON PD,146893,,,,,,,,Passic
,Number of Offenses,,13,49,532,482,797,2326,441,Passic
,"Rate Per 100,000",,8.9,33.4,362.2,328.1,542.6,"1,583.5",300.2,Passic
,Number of Clearances,,7,13,56,189,75,161,1,Passic
,Percent Cleared,,54,27,11,39,9,7,0,Passic
,Number of Arrests,,7,7,59,343,114,35,18,Passic
NJ0181500,PEAPACK-GLADSTONE PD,2588,,,,,,,,Passic
,Number of Offenses,,0,0,0,0,10,9,0,Passic
,"Rate Per 100,000",,0,0,0,0,386.4,347.8,0,Passic
,Number of Clearances,,0,0,0,0,2,2,0,Passic
,Percent Cleared,,0,0,0,0,20,22,0,Passic
,Number of Arrests,,0,0,0,0,2,1,0,Passic
NJ0160900,POMPTON LAKES BORO PD,11062,,,,,,,,Passic
,Number of Offenses,,0,0,0,15,24,62,3,Passic
,"Rate Per 100,000",,0,0,0,135.6,217.0,560.5,27.1,Passic
,Number of Clearances,,0,0,0,4,4,4,0,Passic
,Percent Cleared,,0,0,0,27,17,6,0,Passic
,Number of Arrests,,0,0,0,2,2,0,0,Passic
NJ0161000,PROSPECT PARK BORO PD,5893,,,,,,,,Passic
,Number of Offenses,,0,1,3,1,17,66,12,Passic
,"Rate Per 100,000",,0,17.0,50.9,17.0,288.5,"1,120.0",203.6,Passic
,Number of Clearances,,0,1,2,0,2,0,10,Passic
,Percent Cleared,,0,100,67,0,12,0,83,Passic
,Number of Arrests,,0,1,3,0,3,1,0,Passic
NJ0161100,RINGWOOD BORO PD,12303,,,,,,,,Passic
,Number of Offenses,,0,1,0,5,15,29,4,Passic
,"Rate Per 100,000",,0,8.1,0,40.6,121.9,235.7,32.5,Passic
,Number of Clearances,,0,1,0,3,4,7,3,Passic
,Percent Cleared,,0,100,0,60,27,24,75,Passic
,Number of Arrests,,0,1,0,3,4,5,2,Passic
NJ016SP,STATE POLICE PASSAIC COUNTY,,,,,,,,,Passic
,Number of Offenses,,0,0,0,0,0,6,2,Passic
,"Rate Per 100,000",,0,0,0,0,0,0,0,Passic
,Number of Clearances,,0,0,0,0,0,0,0,Passic
,Percent Cleared,,0,0,0,0,0,0,0,Passic
,Number of Arrests,,0,0,0,0,1,6,0,Passic
NJ0161200,TOTOWA BORO  PD,10666,,,,,,,,Passic
